gvkey,indfmt,datafmt,consol,popsrc,curcd,fyear,fyr,datadate,sedol,conm,costat,fic
015621,FS,HIST_STD,C,I,ZAR,1999,12,19991231,6588102,MUTUAL AND FEDERAL INSURANCE,I,ZAF
015621,FS,HIST_STD,C,I,ZAR,2000,12,20001231,6588102,MUTUAL AND FEDERAL INSURANCE,I,ZAF
015621,FS,HIST_STD,C,I,ZAR,2001,12,20011231,6588102,MUTUAL AND FEDERAL INSURANCE,I,ZAF
015621,FS,HIST_STD,C,I,ZAR,2002,12,20021231,6588102,MUTUAL AND FEDERAL INSURANCE,I,ZAF
015621,FS,HIST_STD,C,I,ZAR,2003,12,20031231,6588102,MUTUAL AND FEDERAL INSURANCE,I,ZAF
015621,FS,HIST_STD,C,I,ZAR,2004,12,20041231,6588102,MUTUAL AND FEDERAL INSURANCE,I,ZAF
015621,FS,HIST_STD,C,I,ZAR,2005,12,20051231,6588102,MUTUAL AND FEDERAL INSURANCE,I,ZAF
015621,FS,HIST_STD,C,I,ZAR,2006,12,20061231,6588102,MUTUAL AND FEDERAL INSURANCE,I,ZAF
015621,FS,HIST_STD,C,I,ZAR,2007,12,20071231,6588102,MUTUAL AND FEDERAL INSURANCE,I,ZAF
015621,FS,HIST_STD,C,I,ZAR,2008,12,20081231,6588102,MUTUAL AND FEDERAL INSURANCE,I,ZAF
015695,FS,HIST_STD,C,I,ZAR,1987,9,19870930,6342784,FIRST NATL BANK OF S AFRICA,I,ZAF
015695,FS,HIST_STD,C,I,ZAR,1988,9,19880930,6342784,FIRST NATL BANK OF S AFRICA,I,ZAF
015695,FS,HIST_STD,C,I,ZAR,1989,9,19890930,6342784,FIRST NATL BANK OF S AFRICA,I,ZAF
015695,FS,HIST_STD,C,I,ZAR,1990,9,19900930,6342784,FIRST NATL BANK OF S AFRICA,I,ZAF
015695,FS,HIST_STD,C,I,ZAR,1991,9,19910930,6342784,FIRST NATL BANK OF S AFRICA,I,ZAF
015695,FS,HIST_STD,C,I,ZAR,1992,9,19920930,6342784,FIRST NATL BANK OF S AFRICA,I,ZAF
015695,FS,HIST_STD,C,I,ZAR,1993,9,19930930,6342784,FIRST NATL BANK OF S AFRICA,I,ZAF
015695,FS,HIST_STD,C,I,ZAR,1994,9,19940930,6342784,FIRST NATL BANK OF S AFRICA,I,ZAF
015695,FS,HIST_STD,C,I,ZAR,1995,9,19950930,6342784,FIRST NATL BANK OF S AFRICA,I,ZAF
015695,FS,HIST_STD,C,I,ZAR,1996,9,19960930,6342784,FIRST NATL BANK OF S AFRICA,I,ZAF
015695,FS,HIST_STD,C,I,ZAR,1997,9,19970930,6342784,FIRST NATL BANK OF S AFRICA,I,ZAF
015774,FS,HIST_STD,C,I,ZAR,1987,3,19880331,6829997,SOUTHERN LIFE ASSOCIATION,I,ZAF
