globalcompanykey,primaryissuetagrestofworld,datayearfiscal,isocurrencycode,average_price,price_last_day
102039,01W,2016,ZAR,41.37713740458016,47.2
102053,01W,2010,ZAR,35.14434782608696,32.0
102053,01W,2011,ZAR,37.03318181818183,38.0
102053,01W,2012,ZAR,54.886190476190485,54.77
102053,01W,2013,ZAR,68.02636363636363,69.0
102053,01W,2014,ZAR,68.68999999999998,70.4
102053,01W,2015,ZAR,41.55695652173913,44.5
102053,01W,2016,ZAR,37.218275862068985,28.5
102145,01W,2010,ZAR,31.27136363636364,32.0
102145,01W,2011,ZAR,37.40363636363636,37.45
102145,01W,2012,ZAR,53.653,54.0
102145,01W,2013,ZAR,84.86238095238096,84.24
102145,01W,2014,ZAR,73.39318181818182,74.0
102145,01W,2015,ZAR,94.37454545454544,96.4
102145,01W,2016,ZAR,113.23549618320611,114.02
102162,01W,2010,ZAR,59.850909090909084,62.01
102162,01W,2011,ZAR,58.39681818181818,58.85
102162,01W,2012,ZAR,72.23349999999999,68.95
102162,01W,2013,ZAR,72.59047619047621,72.66
102162,01W,2014,ZAR,64.88590909090908,59.47
102162,01W,2015,ZAR,63.59090909090908,61.0
102162,01W,2016,ZAR,65.85919847328245,61.1
102236,01W,2010,ZAR,39.836818181818174,38.8
102236,01W,2011,ZAR,28.577727272727273,30.0
102236,01W,2012,ZAR,26.355714285714292,24.71
102236,01W,2013,ZAR,23.7255,25.13
102236,01W,2014,ZAR,25.053809523809523,24.31
102236,01W,2015,ZAR,13.682727272727272,12.85
102236,01W,2016,ZAR,12.099545454545455,11.9
102236,01W,2017,ZAR,12.723831417624526,13.07
102277,02W,2010,ZAR,183.41090909090912,189.6
102277,02W,2011,ZAR,205.1681818181818,210.0
102277,02W,2012,ZAR,270.247,273.12
102277,02W,2013,ZAR,293.0780952380952,299.11
102277,02W,2014,ZAR,314.37500000000006,315.43
102277,02W,2015,ZAR,297.94772727272726,304.79
102277,02W,2016,ZAR,340.3924045801527,380.24
102341,01W,2010,ZAR,77.26409090909091,81.4
102341,01W,2011,ZAR,88.49863636363638,89.95
102341,01W,2012,ZAR,84.09809523809525,76.5
102341,01W,2013,ZAR,38.0415,35.75
102341,01W,2014,ZAR,30.417142857142853,31.15
102341,01W,2015,ZAR,16.595,15.59
102341,01W,2016,ZAR,51.74545454545455,52.47
102341,01W,2017,ZAR,38.59532567049807,21.68
102422,01W,2010,ZAR,35.561818181818175,35.88
102422,01W,2011,USD,1.8663399564509096,1.7142857208000002
102422,01W,2012,USD,1.720175087484,1.69782210416
102422,01W,2013,USD,1.7969522519528578,1.8016411057500001
102422,01W,2014,USD,3.2274835527722723,3.17374243104
102422,01W,2015,USD,2.947523768346818,3.0324652275000004
102422,01W,2016,USD,4.660837778989352,5.066000733
102497,01W,2009,ZAR,65.85260869565217,67.0
102497,01W,2010,ZAR,81.04739130434783,84.65
102497,01W,2011,ZAR,119.36454545454545,123.68
102497,01W,2012,ZAR,110.70809523809525,112.8
102497,01W,2013,ZAR,95.72523809523811,107.15
102497,01W,2014,ZAR,174.54090909090905,180.57
102497,01W,2015,ZAR,135.13608695652175,141.44
102497,01W,2016,ZAR,148.3228735632184,154.49
102543,01W,2009,ZAR,40.37750000000001,40.4
102543,01W,2010,ZAR,44.717,46.44
102543,01W,2011,ZAR,44.25761904761904,43.07
102543,01W,2012,ZAR,46.319,44.77
102543,01W,2013,ZAR,44.5725,45.14
102543,01W,2014,ZAR,56.497,52.82
102543,01W,2015,ZAR,56.91619047619048,56.34
102543,01W,2016,ZAR,69.70501915708806,69.45
102544,03W,2009,ZAR,26.592000000000002,26.0
102544,03W,2010,ZAR,27.071500000000004,26.2
102544,03W,2011,ZAR,23.697142857142858,23.83
102544,03W,2012,ZAR,22.286,21.99
102544,03W,2013,ZAR,23.949035000000002,24.02
102544,03W,2014,ZAR,17.814,18.4
102544,03W,2015,ZAR,5.6171428571428565,5.5
102544,03W,2016,ZAR,6.830727969348663,10.35
103026,01W,2009,ZAR,16.016086956521736,15.9
103026,01W,2010,ZAR,17.874782608695654,18.2
103026,01W,2012,ZAR,14.583809523809524,14.55
103026,01W,2013,ZAR,15.627499999999998,15.5
