Global Company Key,company name ,sector ,datayearfiscal,fiscalyearendmonth,Financial capital ,financial capital contains,financial input,financial output,financial numerical numbers,financial time series,financial consistent ,Business model financial,Manufacturing Capital,Manufacturing capital contains,Manufacturing input,Manufacturing output,Manufacturing numerical numbers,Manufacturing time series,Manufacturing consistent,Business model Manufacturing,Intellectual Capital,Intellectual capital contains,Intellectual input,Intellectual output,Intellectual numerical numbers,Intellectual time series,Intellectual consistent ,Business model Intellectual,human capital,human capital contains,human input,human output,human numerical numbers,human time series,human consistent ,Business model human,social and relationship,social and relationship capital contains,social and relationship input,social and relationship output,social and relationship numerical numbers,social and relationship time series,social and relationship consistent ,Business model social and relationship,natural capital,natural capital contains,natural input,natural output,natural numerical numbers,natural time series,natural consistent ,Business model natural,irscoretotal,
226899,TRUWORTHS INTERNATIONAL LTD,Consumer Discretionary,2016,6,,1,1,1,1,1,0,1,,1,1,0,1,1,0,1,,1,0,1,1,1,0,1,,1,1,1,1,1,0,1,,1,1,1,0,0,0,1,,1,1,1,1,0,0,1,31,
240204,Advtech Ltd,Consumer Discretionary,2015,12,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,0,0,0,0,,1,0,0,1,1,1,0,,0,0,0,0,0,0,0,17,
240204,ADVTECH LTD,Consumer Discretionary,2016,12,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,0,0,0,,1,0,0,1,1,1,0,,0,0,0,0,0,0,0,18,
240225,Digicore Holdings Ltd,Consumer Discretionary,2015,6,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,,1,0,0,0,0,1,0,,1,0,0,0,0,0,0,12,
240272,Verimark Holdings,Consumer Discretionary,2015,2,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,0,1,0,,1,0,0,1,0,1,0,,1,0,0,1,0,1,0,21,
240272,VERIMARK HOLDINGS,Consumer Discretionary,2016,2,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,0,1,0,,1,0,0,1,0,1,0,,1,0,0,1,0,1,0,21,
240372,Spur Corp Ltd,Consumer Discretionary,2015,6,,1,0,0,1,1,1,1,,1,0,0,1,1,1,1,,1,0,0,1,1,1,1,,1,0,0,1,1,0,1,,1,0,0,1,1,0,1,,1,0,0,1,1,0,1,27,
240372,SPUR CORP LTD,Consumer Discretionary,2016,6,,1,0,0,1,1,1,1,,1,0,0,1,1,1,1,,1,0,0,1,1,1,1,,1,0,0,1,1,1,1,,1,0,0,1,1,1,1,,1,0,0,1,1,1,1,30,
255227,Phumelela Gaming & Leisure Ltd,Consumer Discretionary,2015,7,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,0,0,0,0,,1,0,0,0,0,0,0,,1,0,0,0,0,0,0,15,
255227,PHUMELELA GAMING & LEISURE,Consumer Discretionary,2016,7,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,0,0,0,0,,1,0,0,0,0,0,0,,1,0,0,0,0,0,0,15,
