globalcompanykey,industryformat,comparabilitystatus,isocurrencycode,datayearfiscal,fiscalyearendmonth,pricecloselastday,yearcheck,assetstotal,capitalexpenditures,debtincurrentliabilitiestotal,longtermdebttotal,cashdividendscashflow,dividendscommonordinary,dividendspreferredpreference,intangibleassetstotal,liabilitiestotal,operatingactivitiesnetcashflow,salesturnovernet,stockexchangecode,comsharesoutstandingissue,netincomelossconsolidated,companylegalname,gicsectors,sectorname,comp,size,roa,lev,dividend,roa_1,market_value_of_equity,growth_1,growth,tobins_q,tobins_q1
101933,INDL,,ZAR,2016,6,44.29,1,5596.6069,95.442001,11.755,500,196.97701,153.759,0,276.07001,2342.01,719.09802,5545.6099,177,171.463,369.043,Adcock Ingram Holdings Ltd,35,Health Care,.049328104,8.6299162,.065940492,.091440223,350.73602,,7594.0962,.0031185912,.025404178,,
102013,INDL,,ZAR,2015,3,,1,22718,590,214,27790,0,0,0,11054,36156,-447,27147,177,.43099999,-8064,Edgars Consolidated Stores Ltd,25,Consumer Discretionary,.48657453,7.490314,-.35496083,1.2326789,0,,,-.013195202,-.19124244,,
102016,INDL,,ZAR,2015,6,110.5,1,14376,1534,3371,5347,260,0,0,634,11630,2296,10553,177,98.518997,844,Sun International Ltd,25,Consumer Discretionary,.044101279,7.0327168,.058708958,.60642737,260,-.018573551,10886.35,-.025127022,.021675788,1.6498542,
102016,INDL,,ZAR,2016,6,86.04000000000001,1,24228,2461,4082,9980,266,226,0,3170,23106,2015,12186,177,97.976997,-450,Sun International Ltd,25,Consumer Discretionary,.13084035,10.095264,-.018573551,.58040285,492,.0083810473,8429.9404,.15474273,.68530887,,
102035,INDL,,ZAR,2015,9,17.1,1,15257,2856,1510,6711,559,315,0,1026,12093,1847,9227,177,525.89203,698,PPC Ltd,15,Materials,.067247823,7.092195,.045749493,.53883463,874,.045030203,8992.7539,.020798761,.31809935,1.5377226,
102035,INDL,,ZAR,2016,3,12.2,1,18035,2058,2183,3558,8,0,0,914,9650,853,9641,177,1510.151,93,PPC Ltd,15,Materials,.050679237,9.8000698,.00515664,.31832549,8,,18423.842,1.1419685,.10043322,,
102039,INDL,,ZAR,2015,6,54.3,1,77215,4508,710,7366,0,0,0,0,24853,2328,32477,177,607.08002,-3663,Impala Platinum Holdings Ltd,15,Materials,0,8.7137499,-.047438968,.10459108,0,-.00082337443,32964.445,.11881632,-.033205204,.94246888,
102039,INDL,,ZAR,2016,6,47.2,1,85016,3658,564,8715,0,0,0,0,26560,2731,35932,177,709.67999,-70,Impala Platinum Holdings Ltd,15,Materials,0,11.350595,-.00082337443,.10914416,0,,33496.895,.10638298,.10102959,,
102053,INDL,,ZAR,2015,12,44.5,1,70591,15,1571,46006,487,531,0,486,49332,773,9277,177,177.06799,-146,Trencor Ltd,20,Industrials,.0068847304,8.6240597,-.0020682523,.67398113,1018,-.030513637,7879.5259,.15170701,.30896178,,
102053,INDL,,ZAR,2016,12,28.5,1,57122,22,36755,4913,531,231,0,367,42705,70,9373,177,177.06799,-1743,Trencor Ltd,20,Industrials,.0064248452,10.952945,-.030513637,.72945625,762,,5046.438,.010348173,-.19080336,,
102145,INDL,,ZAR,2015,9,96.40000000000001,1,10513.064,160.61301,301.91,4374.4829,427.39499,408.50699,0,4469.2319,6948.7778,773.95001,6168.7769,177,116.588,611.224,Oceana Group Ltd,30,Consumer Staples,.42511219,6.7197752,.058139469,.4448173,835.90198,.082512148,11239.083,.22417405,2.5334504,1.7483863,
102145,INDL,,ZAR,2016,9,114.02,1,11106.801,210.30701,605.20099,4145.1421,476.827,547.16101,0,4605.2749,7099.1021,656.94,8243.9883,177,116.672,916.44598,Oceana Group Ltd,30,Consumer Staples,.4146356,9.3153133,.082512148,.42769679,1023.988,,13302.941,.33640566,.056476049,,
102162,INDL,,ZAR,2015,9,61,1,9399,146,278,239,625,0,0,724,2674,1184,8300,177,165,952,Reunert Ltd,20,Industrials,.077029474,6.60776,.10128737,.055005852,625,.096276112,10065,.067688927,-.019159688,1.3804103,
102162,INDL,,ZAR,2016,9,61.1,1,9909,222,629,43,687,0,0,852,2817,790,8511,177,165.506,954,Reunert Ltd,20,Industrials,.085982442,9.2011986,.096276112,.067817137,687,,10112.416,.025421686,.054261092,,
102236,INDL,,ZAR,2015,6,12.85,1,18802.9,427.70001,400.79999,1140.6,225.39999,0,0,843.90002,12279.9,570.20001,30567.6,177,403.10001,848.79999,Murray & Roberts Holdings Ltd,20,Industrials,.044881374,7.301168,.045141973,.081976712,225.39999,.048817415,5179.835,-.15181887,-.050866671,,
102236,INDL,,ZAR,2016,6,11.9,1,17964.9,688,418.89999,650.40002,210.89999,0,0,880.70001,10701.4,761.90002,26148,177,399.13101,877,Murray & Roberts Holdings Ltd,20,Industrials,.049023371,9.796175,.048817415,.059521623,210.89999,,4749.6592,-.14458445,-.044567592,,
102265,INDL,,ZAR,2015,12,13,1,6295,362,28,1000,56,0,0,31,2827,732,5473,177,308.56799,414,African Oxygen Ltd.,15,Materials,.0049245432,6.206912,.065766484,.16330421,56,.09260121,4011.3838,-.061878644,.065324083,,
102265,INDL,,ZAR,2016,12,19,1,6447,379,22,1000,275,0,0,29,2763,848,5537,177,308.56799,597,African Oxygen Ltd.,15,Materials,.0044982163,8.7713699,.09260121,.15852335,275,,5862.792,.011693769,.024146147,,
