globalcompanykey,isocurrencycode,datayearfiscal,fiscalyearendmonth
206059,ZAR,2009,3
206059,ZAR,2010,3
206059,ZAR,2011,3
206059,ZAR,2012,3
206059,ZAR,2013,3
206059,ZAR,2014,3
206059,USD,2015,3
206059,USD,2016,3
206941,SGD,2008,12
206941,SGD,2009,12
206941,SGD,2010,12
206941,SGD,2011,12
206941,SGD,2012,12
206941,SGD,2013,12
206941,SGD,2014,12
206941,SGD,2015,12
206941,SGD,2016,12
207125,ZAR,2014,12
207125,ZAR,2015,12
207125,ZAR,2016,12
208127,ZAR,2008,3
208127,ZAR,2009,3
208127,ZAR,2010,3
208127,ZAR,2011,3
208127,ZAR,2012,3
208127,ZAR,2013,3
208127,ZAR,2014,3
208127,ZAR,2015,3
209214,GBP,2011,12
209214,GBP,2012,12
209214,GBP,2013,12
209214,GBP,2014,12
209214,GBP,2015,12
209214,GBP,2016,12
209952,ZAR,2008,6
209952,ZAR,2009,6
209952,ZAR,2010,6
209952,ZAR,2011,6
209952,ZAR,2012,6
209952,ZAR,2013,6
209952,ZAR,2014,6
209952,ZAR,2015,6
209952,ZAR,2016,6
209955,ZAR,2008,6
209955,ZAR,2009,6
209955,ZAR,2010,6
209955,ZAR,2011,6
209955,ZAR,2012,6
209955,ZAR,2013,6
209955,ZAR,2014,6
209955,ZAR,2015,6
209955,ZAR,2016,6
209980,ZAR,2008,12
209980,ZAR,2009,12
209980,ZAR,2010,12
209980,ZAR,2011,12
209980,ZAR,2012,12
209980,ZAR,2013,12
209980,ZAR,2014,12
209980,ZAR,2015,12
209980,ZAR,2016,12
209985,GBP,2008,3
209985,GBP,2009,3
209985,GBP,2010,3
209985,GBP,2011,3
209985,GBP,2012,3
209985,GBP,2013,3
209985,GBP,2014,3
209985,GBP,2015,3
209987,ZAR,2008,3
209987,ZAR,2009,3
209987,ZAR,2010,3
209987,ZAR,2011,3
209987,ZAR,2012,3
209987,ZAR,2013,3
209987,ZAR,2014,3
209987,ZAR,2015,3
209987,ZAR,2016,3
210057,USD,2008,2
210057,USD,2009,2
210057,USD,2010,2
210057,USD,2011,2
210057,USD,2012,2
210057,USD,2013,2
210057,USD,2014,2
210057,USD,2015,2
210057,USD,2016,2
210060,ZAR,2008,6
210060,ZAR,2009,6
210060,ZAR,2010,6
210060,ZAR,2011,6
210060,ZAR,2012,6
210060,ZAR,2013,6
210060,ZAR,2014,6
210060,ZAR,2015,6
210060,ZAR,2016,6
210095,ZAR,2008,3
210095,ZAR,2009,3
210095,ZAR,2010,3
210095,ZAR,2011,3
210095,ZAR,2012,3
210095,ZAR,2013,3
210095,ZAR,2014,3
210095,ZAR,2015,3
210803,ZAR,2008,6
210803,ZAR,2009,6
210803,ZAR,2010,6
211104,ZAR,2008,6
211104,ZAR,2009,6
211104,ZAR,2010,6
211104,ZAR,2011,6
211104,ZAR,2012,6
211104,ZAR,2013,6
211104,ZAR,2014,6
211104,ZAR,2015,6
211104,ZAR,2016,6
211111,ZAR,2008,6
211111,ZAR,2009,6
211111,ZAR,2010,6
211111,ZAR,2011,6
211111,ZAR,2012,6
211111,ZAR,2013,6
211111,ZAR,2014,6
211111,ZAR,2015,6
211111,ZAR,2016,6
211126,ZAR,2009,12
211126,ZAR,2010,12
211126,ZAR,2010,3
211126,ZAR,2011,3
211126,ZAR,2012,3
211126,ZAR,2013,3
211126,ZAR,2014,3
211126,ZAR,2015,3
211126,ZAR,2016,3
211127,ZAR,2008,6
211127,ZAR,2009,6
211127,ZAR,2010,6
211127,ZAR,2011,6
211127,ZAR,2012,6
211127,ZAR,2013,6
211127,ZAR,2014,6
211127,ZAR,2015,6
211127,ZAR,2016,6
211148,ZAR,2009,9
211148,ZAR,2010,9
211148,ZAR,2011,9
211148,ZAR,2012,9
211148,ZAR,2013,9
211148,ZAR,2014,9
211148,ZAR,2015,9
211148,ZAR,2016,9
211166,ZAR,2008,6
211166,ZAR,2009,6
211166,ZAR,2010,6
211166,ZAR,2011,6
211166,ZAR,2012,6
211166,ZAR,2013,6
211166,ZAR,2014,6
211166,ZAR,2015,6
211166,ZAR,2016,6
211175,ZAR,2008,3
211175,ZAR,2009,3
211175,ZAR,2010,3
211175,ZAR,2011,3
211175,ZAR,2012,3
211175,ZAR,2013,3
211175,ZAR,2014,3
211175,ZAR,2015,3
211175,ZAR,2016,3
211527,USD,2008,6
211527,USD,2009,6
211527,USD,2010,6
211527,USD,2011,6
211527,USD,2012,6
211527,USD,2013,6
211527,USD,2014,6
211527,USD,2015,6
211603,ZAR,2008,6
211603,ZAR,2009,6
211603,ZAR,2010,6
211603,ZAR,2011,6
211603,ZAR,2012,6
211603,ZAR,2013,6
211603,ZAR,2014,6
211603,ZAR,2015,6
211603,ZAR,2016,6
211607,ZAR,2008,6
211607,ZAR,2009,6
211607,ZAR,2010,6
211607,ZAR,2011,6
211607,ZAR,2012,6
211607,ZAR,2013,6
211607,ZAR,2014,6
211607,ZAR,2015,6
211607,ZAR,2016,6
211610,ZAR,2008,12
211610,ZAR,2009,12
211610,ZAR,2010,12
211610,ZAR,2011,12
211610,ZAR,2012,12
211610,ZAR,2013,12
211610,ZAR,2014,12
211610,ZAR,2015,12
211610,ZAR,2016,12
211655,ZAR,2008,12
211655,ZAR,2009,12
211655,ZAR,2010,12
211655,ZAR,2011,12
211655,ZAR,2012,12
211655,ZAR,2013,12
211655,ZAR,2014,12
211655,ZAR,2015,12
211655,ZAR,2016,12
213098,ZAR,2008,8
213098,ZAR,2009,8
213098,ZAR,2010,8
213098,ZAR,2011,8
213098,ZAR,2012,8
213098,ZAR,2013,8
213098,ZAR,2014,8
213098,ZAR,2015,8
213098,ZAR,2016,8
218003,ZAR,2008,6
218003,ZAR,2009,6
218003,ZAR,2010,6
218003,ZAR,2011,6
218003,ZAR,2012,6
218003,ZAR,2013,6
218003,ZAR,2014,6
218003,ZAR,2015,6
218003,ZAR,2016,6
221274,ZAR,2008,3
221274,ZAR,2009,3
221274,ZAR,2010,3
221274,ZAR,2011,3
221274,ZAR,2012,3
221274,ZAR,2013,3
221274,ZAR,2014,3
221274,ZAR,2015,3
221274,ZAR,2016,3
223145,ZAR,2008,6
223145,ZAR,2009,6
223145,ZAR,2010,6
223145,ZAR,2011,6
223145,ZAR,2012,6
223145,ZAR,2013,6
223145,ZAR,2014,6
223145,ZAR,2015,6
223145,ZAR,2016,6
225136,ZAR,2008,12
225136,ZAR,2009,12
225136,ZAR,2010,12
225136,ZAR,2011,12
225136,ZAR,2012,12
225136,ZAR,2013,12
225136,ZAR,2014,12
225136,ZAR,2015,12
225136,ZAR,2016,12
226899,ZAR,2008,6
226899,ZAR,2009,6
226899,ZAR,2010,6
226899,ZAR,2012,6
226899,ZAR,2013,6
226899,ZAR,2014,6
226899,ZAR,2015,6
226899,ZAR,2016,6
229039,GBP,2008,12
229039,GBP,2009,12
229039,GBP,2010,12
229039,GBP,2011,12
229039,GBP,2012,12
229039,GBP,2013,12
229039,GBP,2014,12
229039,GBP,2015,12
229039,GBP,2016,12
229436,ZAR,2008,6
229436,ZAR,2009,6
229436,ZAR,2010,6
229436,ZAR,2011,6
229436,ZAR,2012,6
229436,ZAR,2013,6
229436,ZAR,2014,6
229436,ZAR,2015,6
229436,ZAR,2016,6
240228,ZAR,2008,6
