Global Company Key,company name ,sector ,datayearfiscal,fiscalyearendmonth,Financial capital ,financial capital contains,financial input,financial output,financial numerical numbers,financial time series,financial consistent ,Business model financial,Manufacturing Capital,Manufacturing capital contains,Manufacturing input,Manufacturing output,Manufacturing numerical numbers,Manufacturing time series,Manufacturing consistent,Business model Manufacturing,Intellectual Capital,Intellectual capital contains,Intellectual input,Intellectual output,Intellectual numerical numbers,Intellectual time series,Intellectual consistent ,Business model Intellectual,human capital,human capital contains,human input,human output,human numerical numbers,human time series,human consistent ,Business model human,social and relationship,social and relationship capital contains,social and relationship input,social and relationship output,social and relationship numerical numbers,social and relationship time series,social and relationship consistent ,Business model social and relationship,natural capital,natural capital contains,natural input,natural output,natural numerical numbers,natural time series,natural consistent ,Business model natural,irscoretotal,
211061,Crookes Brothers Ltd,Consumer Staples,2015,3,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,0,0,0,0,0,0,0,,1,0,0,1,0,0,0,,1,0,0,0,0,0,0,,1,0,0,0,0,1,0,13,
211166,Shoprite Holdings Ltd (Shp),Consumer Staples,2015,6,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,0,0,0,0,0,0,0,,1,0,0,1,1,1,0,,1,0,0,1,0,1,0,,1,0,0,0,0,1,0,17,
211613,Sovereign Food Investments Ltd,Consumer Staples,2015,2,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,0,0,0,0,0,0,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,20,
213098,Clicks Group Ltd,Consumer Staples,2015,8,,1,0,0,1,1,0,1,,1,0,0,1,1,0,1,,1,0,0,1,1,1,1,,1,0,0,1,1,0,1,,1,0,0,1,1,0,1,,1,0,0,0,0,0,1,23,
240209,AH-Vest Ltd,Consumer Staples,2015,6,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,12,
240319,Massmart Holdings Ltd,Consumer Staples,2015,12,,1,0,1,1,1,1,1,,1,1,0,1,1,1,1,,1,1,0,1,0,1,1,,1,1,1,1,1,1,0,,1,1,1,1,1,1,1,,1,0,0,1,1,1,0,34,
246277,Astral Foods Ltd,Consumer Staples,2015,9,,1,1,1,1,1,0,1,,1,0,0,1,1,0,0,,1,1,0,1,1,0,1,,1,1,0,1,0,0,1,,1,1,0,1,1,0,1,,1,0,0,1,1,0,0,26,
271087,Spar Group Ltd,Consumer Staples,2015,9,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,0,0,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,22,
281796,Nutritional Holdings Ltd,Consumer Staples,2015,2,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,0,0,0,0,0,0,0,,1,0,0,0,0,1,0,,1,0,0,0,0,1,0,,1,0,0,0,0,1,0,14,
286093,Imbalie Beauty Ltd,Consumer Staples,2015,2,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,0,0,1,0,,1,0,0,1,0,1,0,,1,0,0,0,0,1,0,19,
288698,Pioneer Food Group Ltd,Consumer Staples,2015,9,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,0,0,0,0,0,0,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,0,0,19,
296273,Clover Holdings Ltd,Consumer Staples,2015,6,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,42,
318391,Quantum Foods Holdings Ltd,Consumer Staples,2015,9,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,0,0,0,0,0,0,0,,1,0,0,1,0,0,0,,1,0,0,0,0,0,0,,1,0,0,1,1,0,0,14,
318455,Rhodes Food Group Holdings Ltd,Consumer Staples,2015,9,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,0,0,0,0,0,0,0,,1,0,0,1,0,1,0,,1,0,0,0,0,1,0,,0,0,0,0,0,0,0,13,
101933,Adcock Ingram Holdings Ltd,Health Care,2015,6,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,0,1,0,,1,0,0,0,0,1,0,,1,0,0,1,1,1,0,21,
202546,Netcare Ltd,Health Care,2015,9,,1,1,1,1,1,0,1,,1,1,1,1,1,0,1,,1,1,1,0,0,0,1,,1,1,1,1,1,0,1,,1,1,1,1,1,0,1,,1,1,1,1,0,0,1,33,
211127,Aspen Pharmacare Holdings Plc,Health Care,2015,6,,1,1,1,1,1,0,1,,1,1,1,1,1,0,1,,1,1,1,1,0,0,1,,1,1,1,1,1,0,1,,1,1,1,1,1,0,1,,1,1,1,1,1,0,1,35,
211148,Life Healthcare Group Holdings (Pty) Ltd,Health Care,2015,9,,1,1,1,1,1,0,1,,1,1,1,1,1,0,1,,1,1,1,0,0,0,1,,1,1,1,1,1,0,1,,1,1,1,1,1,0,1,,1,1,1,1,1,0,1,34,
316676,Ascendis Health (Pty) Ltd,Health Care,2015,6,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,,1,0,0,1,0,0,0,,0,0,0,0,0,0,0,11,
317512,Advanced Health Ltd,Health Care,2015,6,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,0,0,0,0,,1,0,0,0,0,1,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,11,
211202,Afrocentric Investment Corp,Financials,2015,6,,1,0,0,1,1,1,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,1,0,0,1,1,0,0,,1,0,0,1,1,0,0,,0,0,0,0,0,0,0,10,
240231,Ecsponent Ltd,Financials,2015,12,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,12,
296962,Rand Merchant Investment Holdings Ltd,Financials,2015,6,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,0,0,1,0,,1,0,0,0,0,1,0,,1,0,0,0,0,1,0,18,
318215,Alexander Forbes Group Holdings Ltd,Financials,2015,3,,1,1,1,1,1,0,1,,0,0,0,0,0,0,0,,1,1,0,1,1,0,1,,1,1,1,1,1,0,1,,1,1,1,1,1,0,1,,1,0,0,1,1,1,0,27,
200628,Alviva Holdings Ltd,Information Technology,2015,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,cannot find report
205826,Mustek Ltd,Information Technology,2015,6,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,0,1,1,,1,1,1,1,0,1,1,,1,1,1,1,1,1,1,40,
210057,Datatec Ltd,Information Technology,2015,2,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,0,1,0,,1,0,0,1,1,1,0,,1,0,0,0,0,1,0,21,
211658,Metrofile Holdings Ltd,Information Technology,2015,6,,1,1,1,1,1,0,1,,1,1,1,1,1,0,1,,1,1,1,0,0,0,1,,1,1,1,0,0,0,1,,1,1,1,0,0,0,1,,1,1,1,0,0,0,1,28,
240244,EOH Holdings Ltd,Information Technology,2015,7,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,0,0,1,0,,1,0,0,1,1,1,0,22,
240280,AdaptIT Holdings Ltd,Information Technology,2015,6,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,0,0,1,0,,1,0,0,1,0,1,0,,1,0,0,1,0,1,0,,1,0,0,0,0,1,0,18,
240329,Moneyweb Holdings Ltd,Information Technology,2015,6,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,0,0,0,0,0,0,0,,1,0,0,0,0,1,0,,1,0,0,0,0,1,0,,0,0,0,0,0,0,0,12,
240358,ISA Holdings Ltd,Information Technology,2015,2,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,0,0,1,0,,1,0,0,0,0,1,0,,1,0,0,0,0,1,0,18,
240377,Silverbridge Holdings Ltd,Information Technology,2015,6,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,0,1,0,,0,0,0,0,0,0,0,19,
287252,MiX Telematics Ltd,Information Technology,2015,3,,1,0,0,1,1,1,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,0,1,0,15,
