globalcompanykey,primaryissuetagrestofworld,datayearfiscal,isocurrencycode,average_price,price_last_day
212241,01W,2016,ZAR,37.168396946564876,39.35
212424,01W,2015,ZAR,0.41545454545454547,0.47
212424,01W,2016,ZAR,0.3657633587786255,0.25
212425,01W,2015,ZAR,26.227826086956522,27.0
212425,01W,2016,ZAR,27.980651340996193,30.59
212533,01W,2015,ZAR,0.14793103448275885,0.0
212633,01W,2015,ZAR,0.20285714285714293,0.15
212633,01W,2016,ZAR,0.1720091324200914,0.0
212636,01W,2015,ZAR,23.853809523809527,23.35
212636,01W,2016,ZAR,31.93023622047245,0.0
213098,01W,2015,ZAR,92.95666666666666,91.54
213098,01W,2016,ZAR,102.11393129770991,121.1
218003,01W,2015,ZAR,94.69818181818182,98.6
218003,01W,2016,ZAR,93.49667938931293,84.02
221274,01W,2015,ZAR,106.23434782608695,112.02
221274,01W,2016,ZAR,126.25204081632657,0.0
221777,01W,2015,ZAR,2.3086956521739124,2.3
221777,01W,2016,ZAR,2.2616858237547866,2.4
222143,01W,2015,ZAR,2.8593129770992336,3.55
223145,01W,2015,ZAR,18.703181818181818,18.65
223145,01W,2016,ZAR,16.50202290076335,13.63
225136,01W,2015,ZAR,57.42608695652173,60.54
225136,01W,2016,ZAR,62.29862068965517,62.9
226899,01W,2015,ZAR,83.33363636363636,85.7
226899,01W,2016,ZAR,92.0873664122138,85.8
229436,01W,2015,ZAR,7.219545454545454,5.75
229436,01W,2016,ZAR,3.846374045801529,3.51
237401,01W,2015,ZAR,4.695454545454546,4.3
237401,01W,2016,ZAR,3.060305343511447,3.1
238524,01W,2015,ZAR,28.080000000000002,27.25
238524,01W,2016,ZAR,28.320306122448972,0.0
240200,01W,2015,ZAR,0.031904761904761915,0.02
240200,01W,2016,ZAR,0.10484018264840174,0.0
240204,01W,2015,ZAR,13.64521739130435,14.56
240204,01W,2016,ZAR,15.24593869731801,17.17
240209,01W,2015,ZAR,0.3577272727272728,0.33
240209,01W,2016,ZAR,0.3972519083969439,0.38
240218,01W,2015,ZAR,4.345172413793101,4.3
240224,01W,2015,ZAR,0.491904761904762,0.48
240224,01W,2016,ZAR,0.659694656488549,0.62
240225,01W,2015,ZAR,2.658430651340996,4.1
240227,01W,2015,ZAR,3.932413793103442,4.05
240228,01W,2015,ZAR,121.61681818181819,126.47
240228,01W,2016,ZAR,128.793282442748,122.5
240231,01W,2015,ZAR,0.23391304347826097,0.24
240231,01W,2016,ZAR,0.1810727969348657,0.14
240238,02W,2015,ZAR,12.713043478260866,12.7
240238,02W,2016,ZAR,11.97865900383141,12.0
240240,01W,2015,ZAR,0.4385714285714285,0.45
240240,01W,2016,ZAR,0.39611872146118726,0.0
240244,01W,2015,ZAR,162.59608695652173,172.34
240244,01W,2016,ZAR,143.24926923076927,141.7
